epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.331,1.28208,2.86716,1.4742,0.75022,0.19994,0.32893,0.20067,1.17801,3.26227,1.40514,0.000408333,0.000408333,0.000408333
2,811.98,1.13635,1.92866,1.33789,0.63421,0.43437,0.53172,0.34539,1.18803,2.54405,1.3925,0.000808665,0.000808665,0.000808665
3,1150.67,1.16986,1.74485,1.32823,0.54249,0.55973,0.54482,0.32399,1.34038,2.47897,1.56958,0.0011925,0.0011925,0.0011925
4,1484.05,1.20252,1.6284,1.34407,0.58545,0.67524,0.67987,0.43757,1.21799,2.20807,1.39059,0.00117575,0.00117575,0.00117575
5,1817.1,1.15682,1.448,1.3243,0.74101,0.72758,0.74651,0.48873,1.2118,1.84928,1.4002,0.001151,0.001151,0.001151
6,2155.37,1.1273,1.39984,1.29824,0.65921,0.7006,0.73479,0.48117,1.23853,1.98972,1.41321,0.00112625,0.00112625,0.00112625
