epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55276,1.43401,3.10663,1.83866,0.00527,1,0.37985,0.28901,0.82047,3.39429,1.32958,0.00010002,0.00010002,0.00010002
2,16.1473,1.29881,2.8645,1.62337,0.00546,1,0.4162,0.31292,0.93258,3.36584,1.39364,0.000214565,0.000214565,0.000214565
3,22.8683,1.34363,2.78263,1.67481,0.00579,1,0.43261,0.29519,0.97267,3.31241,1.40917,0.000326799,0.000326799,0.000326799
4,28.907,1.30029,2.491,1.55627,0.00527,0.97222,0.43061,0.27404,1.19106,3.32123,1.59355,0.000436722,0.000436722,0.000436722
5,35.3675,1.23168,2.31592,1.5558,0.00561,0.97222,0.43965,0.28719,1.10887,3.19039,1.59852,0.000544336,0.000544336,0.000544336
6,41.4895,1.3491,2.17467,1.62155,0.09186,0.32521,0.28661,0.18241,1.37384,3.41593,1.89476,0.000649638,0.000649638,0.000649638
7,47.9619,1.33689,2.03258,1.6014,0.95509,0.16667,0.29313,0.15286,1.62745,3.30687,2.14977,0.00075263,0.00075263,0.00075263
8,54.3488,1.30015,1.96812,1.58041,0.78765,0.15123,0.18982,0.06402,2.00135,3.79436,2.64586,0.000853312,0.000853312,0.000853312
9,60.4577,1.36435,1.91583,1.60664,0.06703,0.13889,0.06828,0.01945,2.95175,4.10466,4.39771,0.000951684,0.000951684,0.000951684
10,66.7981,1.33913,1.84033,1.58516,0.7577,0.16667,0.22803,0.07341,2.73112,3.95625,3.78657,0.00104774,0.00104774,0.00104774
11,73.5027,1.31438,1.86857,1.58915,0.11949,0.19444,0.1029,0.02725,3.13252,4.10132,4.2396,0.00114149,0.00114149,0.00114149
12,79.7195,1.37045,1.75715,1.567,0.12266,0.19444,0.13384,0.04548,2.20249,3.82829,2.90953,0.00123293,0.00123293,0.00123293
13,85.9052,1.37558,1.78401,1.56665,0.27619,0.08333,0.12355,0.04287,2.74702,4.15832,3.56997,0.00132206,0.00132206,0.00132206
14,92.0484,1.32724,1.73127,1.56992,0.10363,0.11111,0.07667,0.02159,2.90518,4.97832,3.65976,0.00140888,0.00140888,0.00140888
15,98.3921,1.3896,1.67046,1.57352,0.57188,0.11111,0.05395,0.02034,2.2105,4.58311,2.90862,0.00143595,0.00143595,0.00143595
16,104.673,1.29473,1.66457,1.51515,0.53847,0.29916,0.35615,0.07001,1.95151,3.70094,2.47221,0.00141945,0.00141945,0.00141945
17,111.013,1.27812,1.62039,1.50249,0.23921,0.5,0.22005,0.08664,1.76328,3.53645,2.26395,0.00140295,0.00140295,0.00140295
18,117.48,1.31291,1.54259,1.54316,0.22493,0.5,0.18433,0.0826,1.71692,3.49466,2.34994,0.00138644,0.00138644,0.00138644
19,123.818,1.27327,1.52091,1.50133,0.17637,0.33333,0.09542,0.03221,2.06248,4.30298,2.58879,0.00136994,0.00136994,0.00136994
20,130.252,1.30315,1.53542,1.52454,0.18224,0.30556,0.09416,0.04598,2.20797,4.48456,2.85604,0.00135344,0.00135344,0.00135344
21,136.226,1.36202,1.63336,1.59619,0.2313,0.27778,0.14916,0.04164,2.18516,4.64488,2.80964,0.00133693,0.00133693,0.00133693
22,142.315,1.27087,1.50216,1.47623,0.76287,0.33333,0.41291,0.1445,2.05385,3.71658,2.76145,0.00132043,0.00132043,0.00132043
23,148.669,1.22091,1.37075,1.446,0.21484,0.5,0.26237,0.13007,1.96004,3.4052,2.63871,0.00130393,0.00130393,0.00130393
24,154.968,1.24113,1.41712,1.48937,0.39857,0.19444,0.23994,0.12877,1.85343,3.39321,2.36036,0.00128742,0.00128742,0.00128742
25,161.281,1.33859,1.33906,1.52893,0.27511,0.25,0.27214,0.1384,1.69033,3.07684,2.1791,0.00127092,0.00127092,0.00127092
26,167.531,1.20204,1.42576,1.49272,1,0.08268,0.13741,0.04817,2.78147,3.28856,3.25408,0.00125442,0.00125442,0.00125442
27,173.817,1.27198,1.40132,1.47978,0.74576,0.30556,0.25987,0.08438,2.3528,2.78474,2.69358,0.00123791,0.00123791,0.00123791
28,179.858,1.22217,1.33915,1.45723,0.20275,0.19444,0.15074,0.06323,2.57162,3.21648,2.92156,0.00122141,0.00122141,0.00122141
29,186.111,1.23395,1.29524,1.4313,0.25398,0.16667,0.1666,0.04827,2.61886,3.56291,2.84512,0.00120491,0.00120491,0.00120491
30,192.167,1.24425,1.3376,1.49583,0.17199,0.11111,0.16268,0.03638,2.56878,3.75516,2.70051,0.0011884,0.0011884,0.0011884
31,198.394,1.16198,1.26676,1.39436,0.21163,0.13889,0.15892,0.03897,2.28309,3.21454,2.57049,0.0011719,0.0011719,0.0011719
32,204.588,1.19589,1.23574,1.42924,0.78902,0.19057,0.1871,0.0616,1.70751,2.91354,2.12218,0.0011554,0.0011554,0.0011554
33,210.78,1.16341,1.21315,1.42703,0.70218,0.11111,0.13242,0.04889,1.73543,2.9132,2.17002,0.00113889,0.00113889,0.00113889
34,216.842,1.17173,1.2478,1.45495,0.83644,0.33333,0.38056,0.17191,1.687,2.20985,2.31691,0.00112239,0.00112239,0.00112239
35,223.207,1.09194,1.17266,1.34823,0.88211,0.27778,0.33505,0.19778,1.72517,1.98792,2.2916,0.00110589,0.00110589,0.00110589
36,229.758,1.2108,1.22846,1.41962,0.89188,0.27778,0.34867,0.15921,1.82832,2.24984,2.31176,0.00108938,0.00108938,0.00108938
37,236.216,1.17786,1.27702,1.40172,0.91851,0.30556,0.34433,0.20627,1.52472,2.09692,1.91672,0.00107288,0.00107288,0.00107288
38,242.611,1.09648,1.101,1.34583,0.93463,0.27778,0.37714,0.18344,1.81002,2.22529,2.0645,0.00105638,0.00105638,0.00105638
39,249.014,1.1599,1.15946,1.39547,0.61498,0.5,0.39439,0.14705,2.31176,2.62373,2.41551,0.00103987,0.00103987,0.00103987
40,255.357,1.07919,1.05572,1.35247,0.85034,0.55556,0.60266,0.21259,1.72762,1.9997,2.14925,0.00102337,0.00102337,0.00102337
41,261.631,1.07891,1.0495,1.36604,0.73957,0.61111,0.68529,0.25152,1.68557,2.00338,2.13449,0.00100687,0.00100687,0.00100687
42,267.848,1.07941,1.02834,1.29971,0.34927,0.52778,0.54923,0.21922,1.83546,2.12625,2.11086,0.000990365,0.000990365,0.000990365
43,274.085,1.1197,1.08342,1.36268,0.92355,0.22222,0.2982,0.1059,1.79294,2.42401,2.1776,0.000973861,0.000973861,0.000973861
