epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4233,1.5395,3.08708,1.90437,0.0054,1,0.38639,0.28821,0.87972,3.41494,1.36569,0.00021671,0.00021671,0.00021671
2,20.2544,1.35963,2.7977,1.65681,0.00552,1,0.61853,0.33584,0.92005,3.38707,1.3524,0.000441178,0.000441178,0.000441178
3,27.9731,1.41093,2.55634,1.69834,0.0051,1,0.37929,0.20167,1.52615,3.40191,1.86795,0.000656405,0.000656405,0.000656405
4,35.1394,1.44221,2.30413,1.70914,0.0049,1,0.35663,0.16415,1.52555,3.35795,1.96956,0.000862389,0.000862389,0.000862389
5,40.4589,1.46948,2.22104,1.69042,0.29808,0.22222,0.27629,0.12653,1.75347,3.45135,2.1929,0.00105913,0.00105913,0.00105913
6,46.0803,1.50238,2.08825,1.74437,0.88677,0.19021,0.51827,0.23938,1.64199,3.26843,2.01971,0.00124663,0.00124663,0.00124663
7,51.3089,1.56324,2.1288,1.77275,0.48133,0.13889,0.28976,0.13069,1.57432,3.26767,2.09298,0.00142489,0.00142489,0.00142489
8,56.8041,1.49244,2.09647,1.74281,0.29011,0.22222,0.22532,0.09778,1.77925,3.40372,2.77983,0.00143595,0.00143595,0.00143595
9,62.117,1.4629,1.96847,1.67855,0.86128,0.21741,0.28759,0.12727,1.78096,3.15973,2.87291,0.00140295,0.00140295,0.00140295
10,67.4204,1.53251,2.12205,1.75424,0.79922,0.16667,0.21978,0.11205,2.18443,3.64615,3.47414,0.00136994,0.00136994,0.00136994
11,72.7714,1.45658,1.87864,1.64824,0.18302,0.27778,0.25759,0.10163,2.12912,3.47976,3.0462,0.00133693,0.00133693,0.00133693
12,78.0053,1.48113,1.92831,1.64012,0.34084,0.30556,0.33238,0.15939,1.96179,3.0191,2.57345,0.00130393,0.00130393,0.00130393
13,83.2966,1.3841,1.79514,1.60359,0.6386,0.5386,0.47672,0.23421,1.56314,2.51737,2.06384,0.00127092,0.00127092,0.00127092
14,88.6065,1.38393,1.72074,1.61493,0.34487,0.50118,0.37346,0.13683,1.84036,2.88243,2.21042,0.00123791,0.00123791,0.00123791
15,93.8193,1.39513,1.7626,1.60194,0.27665,0.22222,0.25546,0.10317,1.91745,3.03777,2.30018,0.00120491,0.00120491,0.00120491
16,99.1813,1.35464,1.75792,1.57764,0.50038,0.52778,0.53773,0.26328,1.58674,2.55728,2.07485,0.0011719,0.0011719,0.0011719
17,104.41,1.33473,1.64293,1.53424,0.73715,0.22222,0.28357,0.16508,1.67521,2.60765,2.1959,0.00113889,0.00113889,0.00113889
18,109.672,1.32178,1.60463,1.54538,0.28477,0.58184,0.3902,0.21654,1.64522,3.0524,2.2918,0.00110589,0.00110589,0.00110589
