epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5832,1.77156,3.77063,2.10672,0.37105,0.86111,0.42633,0.30613,0.99881,5.01412,1.39778,0.00021671,0.00021671,0.00021671
2,34.8649,1.4519,2.53944,1.67735,0.86496,0.22546,0.28442,0.19228,1.51748,4.91738,1.92718,0.000445634,0.000445634,0.000445634
3,50.4353,1.56945,2.21224,1.81349,0.92597,0.19444,0.3226,0.0941,2.365,6.25853,3.27634,0.000669937,0.000669937,0.000669937
4,66.266,1.56085,2.01357,1.78602,0.8293,0.27778,0.26265,0.11229,1.84531,5.71451,2.23938,0.00088962,0.00088962,0.00088962
5,83.0971,1.68016,1.99818,1.83762,0.8145,0.16667,0.23924,0.08001,2.65571,6.88151,3.00953,0.00110468,0.00110468,0.00110468
6,100.068,1.82738,1.91816,1.95657,0.28508,0.29513,0.28265,0.10894,2.28139,3.72812,3.68501,0.00131512,0.00131512,0.00131512
7,115.377,1.8181,1.93358,1.97548,0.73067,0.27778,0.26773,0.14446,1.87113,3.97598,3.10488,0.00152094,0.00152094,0.00152094
8,132.062,1.59888,1.80549,1.84803,0.04384,0.11111,0.02924,0.01467,2.44946,13.0107,3.5933,0.00155148,0.00155148,0.00155148
9,148.788,1.60143,1.74132,1.82022,0.00159,0.02778,0.00017,3e-05,4.79373,35.947,9.09054,0.00153497,0.00153497,0.00153497
10,165.784,1.65927,1.7274,1.88728,0.85711,0.22222,0.25844,0.1549,2.12731,6.44162,2.97923,0.00151847,0.00151847,0.00151847
11,183.505,1.57229,1.59735,1.73653,0.88763,0.22222,0.27646,0.13782,1.97073,4.9754,2.63936,0.00150197,0.00150197,0.00150197
12,200.807,1.61655,1.69388,1.77303,0.8202,0.27778,0.27497,0.1377,2.06079,3.64534,2.91962,0.00148546,0.00148546,0.00148546
13,218.536,1.56017,1.52441,1.72042,0.84585,0.22222,0.25366,0.12178,2.163,5.20231,3.16639,0.00146896,0.00146896,0.00146896
14,235.352,1.69813,1.51858,1.82052,0.37827,0.08333,0.09508,0.05515,2.53866,3.93183,3.42576,0.00145246,0.00145246,0.00145246
15,251.876,1.67219,1.57541,1.76845,0.07204,0.27778,0.03428,0.00944,2.83179,4.92486,3.63003,0.00143595,0.00143595,0.00143595
16,268.983,1.68268,1.55883,1.80702,0.38105,0.44444,0.25475,0.12707,2.19402,2.87993,2.93072,0.00141945,0.00141945,0.00141945
17,287.863,1.59102,1.40543,1.71499,0.82757,0.13889,0.19004,0.11009,2.13196,4.1317,3.02828,0.00140295,0.00140295,0.00140295
18,306.275,1.60275,1.4689,1.74376,0.36853,0.44444,0.40148,0.1189,2.2685,3.69055,3.17523,0.00138644,0.00138644,0.00138644
19,322.928,1.59063,1.54041,1.72223,0.16361,0.75,0.29352,0.09978,2.25932,5.04949,3.24166,0.00136994,0.00136994,0.00136994
20,339.708,1.51264,1.41873,1.67855,0.88581,0.27778,0.30407,0.17322,1.7112,3.47944,2.30825,0.00135344,0.00135344,0.00135344
21,356.393,1.56672,1.39365,1.7011,0.77796,0.27778,0.3065,0.14386,2.09363,2.76884,2.65498,0.00133693,0.00133693,0.00133693
22,373.021,1.47968,1.32636,1.63469,0.16374,0.19444,0.15692,0.08571,2.23095,2.52514,2.80452,0.00132043,0.00132043,0.00132043
23,389.945,1.46984,1.3033,1.6104,0.74065,0.30556,0.25955,0.14143,2.01277,1.88637,2.87107,0.00130393,0.00130393,0.00130393
24,409.735,1.4449,1.29093,1.60856,0.31786,0.30556,0.32609,0.1645,1.90335,2.11099,2.52713,0.00128742,0.00128742,0.00128742
25,426.412,1.50276,1.29604,1.66047,0.27308,0.5,0.33498,0.14093,1.94544,2.70302,2.55606,0.00127092,0.00127092,0.00127092
26,443.19,1.38566,1.29629,1.61578,0.24465,0.58333,0.30077,0.14096,2.10593,2.29696,2.99089,0.00125442,0.00125442,0.00125442
27,459.895,1.39808,1.27088,1.54853,0.70263,0.25,0.29846,0.10397,2.07718,2.98234,2.74684,0.00123791,0.00123791,0.00123791
28,476.529,1.40562,1.22969,1.58957,0.50631,0.33333,0.31913,0.13194,2.07579,2.59744,2.76438,0.00122141,0.00122141,0.00122141
29,493.188,1.41879,1.25534,1.61048,0.22641,0.47222,0.27073,0.11815,2.0814,2.74959,2.61144,0.00120491,0.00120491,0.00120491
30,509.707,1.40718,1.31202,1.66265,0.76942,0.28904,0.5011,0.24362,1.94151,2.35553,2.27814,0.0011884,0.0011884,0.0011884
31,526.345,1.38711,1.1691,1.61475,0.73418,0.37945,0.53403,0.25813,1.76976,1.96593,2.19377,0.0011719,0.0011719,0.0011719
32,543.085,1.37044,1.0798,1.52392,0.32303,0.30556,0.37173,0.24933,1.50826,1.44384,1.80294,0.0011554,0.0011554,0.0011554
33,560.027,1.34383,1.07899,1.57573,0.30397,0.25883,0.31585,0.21031,1.51798,1.76297,1.84488,0.00113889,0.00113889,0.00113889
34,576.549,1.33956,1.12924,1.58004,0.25875,0.27778,0.20497,0.10482,1.95977,2.17295,2.28103,0.00112239,0.00112239,0.00112239
35,593.208,1.44902,1.19576,1.62186,0.73778,0.4821,0.59463,0.22724,1.57965,1.76371,1.92301,0.00110589,0.00110589,0.00110589
36,610.253,1.34132,1.13113,1.55111,0.773,0.5,0.66135,0.41984,1.49455,1.47389,1.93161,0.00108938,0.00108938,0.00108938
37,627.419,1.36355,1.18429,1.55007,0.66071,0.44444,0.52714,0.36159,1.71012,2.05518,2.25758,0.00107288,0.00107288,0.00107288
38,644.104,1.35674,1.09295,1.51386,0.6404,0.36413,0.50264,0.28173,2.02303,1.99636,2.28312,0.00105638,0.00105638,0.00105638
39,660.822,1.33153,1.11333,1.52338,0.82936,0.30556,0.55311,0.29318,2.03596,1.87363,2.24373,0.00103987,0.00103987,0.00103987
40,677.757,1.2183,0.9734,1.43144,0.72367,0.52022,0.70668,0.40371,1.64857,1.54886,2.15174,0.00102337,0.00102337,0.00102337
41,695.825,1.26467,1.03735,1.48532,0.55043,0.73216,0.69578,0.32907,1.63373,1.82492,1.97055,0.00100687,0.00100687,0.00100687
42,713.475,1.2449,0.98623,1.44834,0.59595,0.60945,0.51777,0.24412,1.93862,1.60121,2.28275,0.000990365,0.000990365,0.000990365
43,730.111,1.23807,1.02519,1.45056,0.44988,0.59727,0.56732,0.28699,1.78869,1.43988,2.37794,0.000973861,0.000973861,0.000973861
44,747.382,1.21479,0.95787,1.46147,0.84833,0.38301,0.48795,0.26031,1.72203,1.37862,2.3875,0.000957358,0.000957358,0.000957358
45,765.23,1.16698,0.97513,1.43039,0.77852,0.47491,0.64883,0.25,1.77409,1.33879,2.33774,0.000940855,0.000940855,0.000940855
46,782.673,1.23241,0.99473,1.48446,0.72109,0.49972,0.61778,0.29427,1.65332,1.40879,2.19238,0.000924352,0.000924352,0.000924352
47,800.379,1.2039,1.0469,1.45959,0.75186,0.55556,0.64592,0.32318,1.57131,1.33426,2.15343,0.000907848,0.000907848,0.000907848
48,817.407,1.19573,0.91383,1.40351,0.33257,0.58333,0.39979,0.21583,1.63903,1.52184,2.1534,0.000891345,0.000891345,0.000891345
49,834.411,1.14002,0.89979,1.39734,0.69006,0.5,0.51362,0.20948,1.83667,1.34981,2.3656,0.000874842,0.000874842,0.000874842
50,851.845,1.18504,0.93397,1.39003,0.73965,0.43621,0.59276,0.2657,1.78793,1.65786,2.19316,0.000858338,0.000858338,0.000858338
51,868.835,1.19106,1.00098,1.43508,0.82752,0.51231,0.62037,0.3141,1.77465,1.48751,2.17954,0.000841835,0.000841835,0.000841835
52,885.848,1.13738,0.90931,1.40441,0.60612,0.59448,0.51094,0.26402,1.66563,1.26091,1.98961,0.000825332,0.000825332,0.000825332
53,902.879,1.15445,0.89457,1.40823,0.64434,0.4887,0.66621,0.3445,1.57103,1.54311,1.84658,0.000808828,0.000808828,0.000808828
54,920.032,1.12124,0.92753,1.41404,0.23608,0.6055,0.35822,0.20551,1.64826,1.5277,1.92695,0.000792325,0.000792325,0.000792325
55,936.81,1.21521,0.94029,1.43636,0.25158,0.6186,0.42017,0.21137,1.73218,1.46268,2.00108,0.000775822,0.000775822,0.000775822
56,953.746,1.15386,0.95046,1.43385,0.43835,0.97222,0.61536,0.29674,1.6092,1.20904,1.87969,0.000759318,0.000759318,0.000759318
57,970.811,1.13192,0.94096,1.35443,0.7723,0.66667,0.73448,0.44971,1.58692,1.02114,2.01268,0.000742815,0.000742815,0.000742815
58,987.586,1.14111,0.88543,1.3926,0.79912,0.94224,0.9189,0.49738,1.61443,1.1351,1.91846,0.000726312,0.000726312,0.000726312
59,1004.45,1.09593,0.85379,1.34123,0.82542,0.88428,0.89602,0.53149,1.55967,1.15046,1.90764,0.000709809,0.000709809,0.000709809
60,1022,1.1576,0.87625,1.43529,0.66523,0.71003,0.68789,0.41179,1.55102,1.39645,1.96568,0.000693305,0.000693305,0.000693305
61,1039.08,1.09557,0.83722,1.37528,0.56607,0.74748,0.69665,0.40434,1.632,1.68683,1.95663,0.000676802,0.000676802,0.000676802
62,1055.95,1.06749,0.82365,1.33407,0.59121,0.87548,0.78525,0.48322,1.51457,1.29451,1.88153,0.000660299,0.000660299,0.000660299
63,1072.64,1.04623,0.80565,1.33849,0.87221,0.58333,0.7613,0.50563,1.4797,1.26379,1.90324,0.000643795,0.000643795,0.000643795
64,1089.51,1.11932,0.82208,1.36613,0.68939,0.61111,0.68991,0.44366,1.68271,1.39501,2.13582,0.000627292,0.000627292,0.000627292
65,1106.21,1.0779,0.80798,1.34097,0.69281,0.58333,0.61923,0.45696,1.45063,1.30974,1.88055,0.000610789,0.000610789,0.000610789
66,1123.1,1.11451,0.8411,1.38087,0.59682,0.63359,0.6484,0.45311,1.46991,1.24333,1.98176,0.000594286,0.000594286,0.000594286
67,1139.82,1.00293,0.77145,1.28545,0.58269,0.61111,0.66776,0.45836,1.51976,1.24433,2.05653,0.000577782,0.000577782,0.000577782
