epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.15096,1.44827,2.90133,1.68268,0.00605,1,0.45842,0.32707,0.88447,3.07681,1.16854,0.00010002,0.00010002,0.00010002
2,9.63728,1.45596,2.56818,1.64657,0.00548,1,0.4341,0.32006,0.94387,2.92877,1.17545,0.000214565,0.000214565,0.000214565
3,12.8321,1.53983,2.27027,1.67151,0.00544,1,0.64274,0.31489,0.98168,2.98608,1.20583,0.000326799,0.000326799,0.000326799
4,15.9213,1.47036,1.95008,1.55294,0.00518,1,0.67178,0.40125,0.95355,2.74645,1.23846,0.000436722,0.000436722,0.000436722
5,19.0755,1.23292,1.75539,1.44755,1,0.1577,0.4765,0.30453,1.11859,2.54155,1.34579,0.000544336,0.000544336,0.000544336
6,22.2433,1.3188,1.80782,1.46502,0.34796,0.39764,0.367,0.18154,1.54821,2.70014,1.76155,0.000649638,0.000649638,0.000649638
7,25.3487,1.33254,1.73617,1.45302,0.83104,0.25,0.28243,0.14699,1.65072,2.69524,1.8859,0.00075263,0.00075263,0.00075263
8,28.3882,1.28108,1.70026,1.4146,0.4533,0.46883,0.31053,0.1704,1.83321,3.01062,2.03658,0.000853312,0.000853312,0.000853312
9,31.5323,1.32935,1.68459,1.46844,0.23745,0.41667,0.26087,0.1319,1.8628,2.79437,2.12478,0.000951684,0.000951684,0.000951684
10,34.6301,1.25007,1.55843,1.42118,0.39304,0.16667,0.22292,0.13316,2.07703,2.73168,2.77604,0.00104774,0.00104774,0.00104774
11,37.6877,1.28517,1.57247,1.44856,0.1845,0.33333,0.1268,0.03956,2.64747,3.76883,3.39274,0.00114149,0.00114149,0.00114149
12,40.7922,1.30852,1.49618,1.40565,0.28327,0.19444,0.17768,0.05742,2.46536,3.98189,2.93069,0.00123293,0.00123293,0.00123293
13,43.8453,1.35968,1.5636,1.4306,0.30525,0.13889,0.1926,0.08122,2.42748,3.60385,2.84505,0.00132206,0.00132206,0.00132206
14,46.8474,1.40515,1.58654,1.49808,0.30431,0.11111,0.1608,0.05222,2.50085,3.56697,3.04227,0.00140888,0.00140888,0.00140888
15,49.893,1.3126,1.44943,1.40086,0.29715,0.08333,0.11189,0.04574,3.11309,3.74811,4.00647,0.00143595,0.00143595,0.00143595
16,52.9867,1.3255,1.43863,1.41996,0.19533,0.25,0.13724,0.02744,2.59033,3.58711,2.77849,0.00141945,0.00141945,0.00141945
17,56.0267,1.28887,1.34154,1.39609,0.33827,0.39464,0.25192,0.05751,2.36854,3.18453,2.63412,0.00140295,0.00140295,0.00140295
18,59.0782,1.2566,1.31765,1.35948,0.25116,0.22442,0.21001,0.05376,2.30673,3.49188,2.46103,0.00138644,0.00138644,0.00138644
19,62.189,1.32791,1.37912,1.41765,0.36046,0.33333,0.151,0.04114,2.02506,3.52324,2.12125,0.00136994,0.00136994,0.00136994
20,65.2209,1.22981,1.35092,1.34196,0.17524,0.19487,0.17326,0.06324,1.94836,3.14082,1.90403,0.00135344,0.00135344,0.00135344
21,68.2291,1.29746,1.34274,1.40861,0.27458,0.47774,0.26462,0.09212,2.18818,2.85466,2.20239,0.00133693,0.00133693,0.00133693
22,71.2589,1.21625,1.32841,1.33355,0.22566,0.25,0.25192,0.11738,1.79153,3.1971,1.87395,0.00132043,0.00132043,0.00132043
23,74.3467,1.15629,1.1916,1.29283,0.33847,0.19444,0.21062,0.10182,1.95854,3.64449,1.92954,0.00130393,0.00130393,0.00130393
