epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68337,1.71991,4.6793,2.2094,0.0225,0.63889,0.02033,0.01392,0.95259,6.63516,1.52801,0.00010002,0.00010002,0.00010002
2,6.05249,1.65117,3.46102,1.94586,0.27088,0.83333,0.30248,0.16813,1.3938,5.37444,1.71072,0.000215995,0.000215995,0.000215995
3,8.37312,1.59114,2.69405,1.79554,0.19621,0.28728,0.23258,0.094,1.86627,5.85324,2.45581,0.0003312,0.0003312,0.0003312
4,10.4745,1.47024,2.10323,1.66031,0.25297,0.36111,0.18024,0.04682,2.30978,6.32948,2.77951,0.000445634,0.000445634,0.000445634
5,12.6213,1.44627,2.01662,1.68577,0.80799,0.19444,0.20985,0.08327,2.21887,5.50871,2.91531,0.000559299,0.000559299,0.000559299
6,14.8872,1.52396,1.88995,1.71894,0.27122,0.13233,0.19315,0.08281,1.89392,5.03839,2.68662,0.000672193,0.000672193,0.000672193
7,17.0696,1.44949,1.65736,1.67775,0.65723,0.11111,0.08465,0.04103,2.17896,5.32796,3.54522,0.000784317,0.000784317,0.000784317
8,19.1461,1.50121,1.67228,1.73339,0.22503,0.25,0.21728,0.12475,1.56671,3.8878,2.43451,0.000895671,0.000895671,0.000895671
9,21.2038,1.5058,1.54316,1.73642,0.09062,0.22222,0.10216,0.0327,2.57231,8.0106,4.2913,0.00100625,0.00100625,0.00100625
10,23.2141,1.52811,1.47896,1.72126,0.10134,0.61111,0.12561,0.05258,2.4132,10.8347,6.15556,0.00111607,0.00111607,0.00111607
11,25.2927,1.49703,1.51008,1.70327,0.27166,0.58333,0.19065,0.06391,2.50487,5.02961,5.49893,0.00122511,0.00122511,0.00122511
12,27.4909,1.51817,1.41801,1.69976,0.08527,0.08333,0.04819,0.04067,2.70993,5.97981,3.83696,0.00133338,0.00133338,0.00133338
13,29.4952,1.64658,1.61813,1.77704,0.00568,0.41667,0.02845,0.00799,3.68088,5.70023,6.33537,0.00144089,0.00144089,0.00144089
14,31.5191,1.6458,1.56176,1.82011,0.01958,0.05556,0.00832,0.00301,3.54988,7.09895,6.3003,0.00154762,0.00154762,0.00154762
15,33.5711,1.6003,1.52594,1.72316,0.10088,0.33333,0.05025,0.02755,3.31463,5.19646,4.56866,0.00158998,0.00158998,0.00158998
16,35.5551,1.50857,1.41273,1.66412,0.66723,0.05556,0.05223,0.01841,3.53103,4.25314,4.71901,0.00158448,0.00158448,0.00158448
17,37.547,1.5124,1.35448,1.66611,0.07897,0.05556,0.02016,0.00428,3.71076,4.78424,5.29773,0.00157898,0.00157898,0.00157898
18,39.7034,1.60595,1.31981,1.69376,0.08173,0.02778,0.00812,0.00189,3.68021,5.19552,5.15936,0.00157348,0.00157348,0.00157348
19,41.7838,1.61782,1.39902,1.73457,0.42677,0.16667,0.20418,0.04795,2.74956,3.52313,3.57583,0.00156798,0.00156798,0.00156798
20,43.8457,1.56123,1.42043,1.70162,0.06212,0.61111,0.03537,0.0093,3.05324,5.80005,3.48991,0.00156248,0.00156248,0.00156248
21,45.8415,1.48644,1.39723,1.64211,0.01522,0.27778,0.00787,0.00099,3.666,6.38784,4.0994,0.00155698,0.00155698,0.00155698
22,47.8823,1.41599,1.37688,1.57268,0.04321,0.36111,0.02746,0.00919,2.68957,6.4383,3.16711,0.00155148,0.00155148,0.00155148
23,49.9766,1.39272,1.22911,1.58491,0.14521,0.16667,0.12043,0.04564,2.75291,4.20414,3.43899,0.00154598,0.00154598,0.00154598
24,52.0012,1.42061,1.2148,1.59764,0.26481,0.41667,0.16952,0.08658,2.34213,4.3762,2.9628,0.00154047,0.00154047,0.00154047
25,53.9804,1.48105,1.20103,1.61777,0.21447,0.25,0.22765,0.09257,2.49892,3.18338,3.71961,0.00153497,0.00153497,0.00153497
26,56.0314,1.42262,1.21803,1.6157,0.17065,0.27778,0.16392,0.05839,2.81469,4.11266,3.32861,0.00152947,0.00152947,0.00152947
27,58.0879,1.41025,1.18957,1.54551,0.55636,0.13889,0.045,0.01821,2.36619,6.45642,2.98644,0.00152397,0.00152397,0.00152397
28,60.1757,1.44664,1.18945,1.59302,0.20176,0.19444,0.13191,0.04702,2.54518,4.17315,3.56635,0.00151847,0.00151847,0.00151847
29,62.3042,1.41031,1.13089,1.55346,0.11933,0.25,0.11524,0.04889,2.38663,4.65594,3.5948,0.00151297,0.00151297,0.00151297
30,64.3619,1.36701,1.18359,1.57658,0.0482,0.11111,0.02474,0.00601,2.4427,5.92072,3.57204,0.00150747,0.00150747,0.00150747
31,66.4539,1.34114,1.14784,1.52465,0.12685,0.08333,0.05452,0.02318,2.3101,6.33374,2.90504,0.00150197,0.00150197,0.00150197
32,68.478,1.38911,1.18513,1.57118,0.16141,0.13889,0.10711,0.0402,2.52647,3.90981,3.56957,0.00149647,0.00149647,0.00149647
33,70.561,1.3814,1.11345,1.58862,0.16124,0.13889,0.12043,0.04628,2.71819,3.52144,3.85568,0.00149096,0.00149096,0.00149096
34,72.58,1.39767,1.1194,1.62468,0.21986,0.33333,0.10172,0.03217,2.3248,4.13291,3.28636,0.00148546,0.00148546,0.00148546
35,74.6157,1.36182,1.15956,1.51234,0.04338,0.55556,0.03064,0.00883,2.32622,4.8348,2.8877,0.00147996,0.00147996,0.00147996
36,76.6305,1.39163,1.16435,1.55808,0.13037,0.08333,0.07217,0.0188,2.4763,3.60391,2.86701,0.00147446,0.00147446,0.00147446
37,78.6129,1.38419,1.12682,1.56136,0.28964,0.22222,0.18946,0.08483,2.27341,3.80563,2.59769,0.00146896,0.00146896,0.00146896
38,80.6781,1.28006,1.01721,1.473,0.31151,0.5,0.30267,0.15505,1.94086,2.79202,2.35013,0.00146346,0.00146346,0.00146346
39,82.8038,1.39645,1.11999,1.5697,0.27258,0.5,0.32197,0.14762,1.92227,2.57425,2.52482,0.00145796,0.00145796,0.00145796
40,84.8472,1.27859,1.01944,1.48787,0.29177,0.44444,0.24182,0.12349,1.90835,2.89846,2.31885,0.00145246,0.00145246,0.00145246
41,86.8705,1.36171,1.00386,1.56818,0.40446,0.29472,0.16757,0.09866,1.98987,3.04832,2.32056,0.00144696,0.00144696,0.00144696
42,88.9323,1.34032,1.02889,1.46207,0.32207,0.08333,0.09792,0.04878,2.13198,3.72899,2.53623,0.00144145,0.00144145,0.00144145
43,90.966,1.33716,1.05214,1.5038,0.40342,0.30556,0.15289,0.05907,2.30732,3.82927,2.80665,0.00143595,0.00143595,0.00143595
44,93.0704,1.26749,1.03756,1.49426,0.28919,0.41667,0.27527,0.10012,2.01542,3.22953,2.61861,0.00143045,0.00143045,0.00143045
45,95.0403,1.24779,1.06345,1.49004,0.1826,0.27778,0.18459,0.09674,1.76025,2.3666,2.28881,0.00142495,0.00142495,0.00142495
46,97.1432,1.26231,1.00705,1.47418,0.24906,0.33333,0.12549,0.04394,2.01719,3.75448,2.44137,0.00141945,0.00141945,0.00141945
47,99.1578,1.20918,0.99897,1.4652,0.25908,0.23938,0.19813,0.10921,1.90912,3.05662,2.29895,0.00141395,0.00141395,0.00141395
48,101.19,1.27852,0.9632,1.45928,0.28828,0.44444,0.301,0.13574,1.79917,3.04463,2.30887,0.00140845,0.00140845,0.00140845
49,103.244,1.20831,0.92086,1.45922,0.43405,0.44444,0.25564,0.14168,1.89875,2.53775,2.35545,0.00140295,0.00140295,0.00140295
50,105.261,1.26919,0.96335,1.47111,0.34774,0.77778,0.44263,0.15795,2.12071,1.91777,2.49041,0.00139745,0.00139745,0.00139745
51,107.301,1.23714,0.92309,1.43048,0.2628,0.63889,0.33312,0.16171,1.87732,1.93448,2.15171,0.00139195,0.00139195,0.00139195
52,109.335,1.16058,0.89379,1.40634,0.50689,0.62405,0.49667,0.29329,1.86753,1.68326,2.35696,0.00138644,0.00138644,0.00138644
53,111.374,1.21392,0.90281,1.4172,0.74461,0.63259,0.62734,0.41159,1.82933,1.58103,2.38187,0.00138094,0.00138094,0.00138094
54,113.514,1.20572,0.94096,1.45093,0.38503,0.57753,0.42368,0.27144,1.73667,1.62618,2.17615,0.00137544,0.00137544,0.00137544
55,115.549,1.10982,0.92834,1.39836,0.92351,0.47169,0.60215,0.39254,1.72096,1.55301,2.25443,0.00136994,0.00136994,0.00136994
56,117.592,1.16498,0.92835,1.43425,0.49883,0.50438,0.48038,0.26085,1.96564,1.6682,2.63397,0.00136444,0.00136444,0.00136444
57,119.569,1.17108,0.88237,1.38921,0.69751,0.44074,0.5096,0.27074,1.74536,1.60027,2.60476,0.00135894,0.00135894,0.00135894
58,121.587,1.21218,0.933,1.42649,0.87814,0.44071,0.50435,0.31873,1.92889,2.13928,2.40251,0.00135344,0.00135344,0.00135344
59,123.637,1.24027,0.90172,1.4366,0.36095,0.72222,0.31657,0.15844,1.68113,2.34015,2.12463,0.00134794,0.00134794,0.00134794
60,125.745,1.12237,0.87698,1.38689,0.41972,0.80556,0.47751,0.20186,1.83392,1.57534,2.45268,0.00134244,0.00134244,0.00134244
61,127.791,1.16515,0.91596,1.42682,0.66682,0.63046,0.71833,0.28773,1.88885,1.64722,2.5421,0.00133693,0.00133693,0.00133693
62,129.803,1.19907,0.9453,1.44762,0.54409,0.44444,0.58357,0.37844,1.91635,1.81175,2.56278,0.00133143,0.00133143,0.00133143
63,131.864,1.23831,0.92859,1.44296,0.44319,0.63889,0.29856,0.13855,1.9365,2.81067,2.38945,0.00132593,0.00132593,0.00132593
64,133.895,1.13775,0.9709,1.39489,0.38543,0.47089,0.28054,0.12371,2.02967,2.46348,2.51313,0.00132043,0.00132043,0.00132043
65,135.926,1.16185,0.88773,1.40387,0.29836,0.27778,0.30491,0.15727,2.0197,2.33777,2.49592,0.00131493,0.00131493,0.00131493
66,138.111,1.12837,0.86186,1.41255,0.62672,0.47222,0.57726,0.20614,1.87856,2.21486,2.46938,0.00130943,0.00130943,0.00130943
67,140.141,1.08549,0.84041,1.34112,0.58825,0.77778,0.72927,0.34635,1.78442,1.53623,2.07812,0.00130393,0.00130393,0.00130393
68,142.164,1.16391,0.85729,1.40507,0.29921,0.52927,0.3815,0.17935,2.06447,1.70525,2.39544,0.00129843,0.00129843,0.00129843
69,144.163,1.09901,0.82614,1.34719,0.34323,0.58333,0.40409,0.17982,2.07894,1.48623,2.56779,0.00129293,0.00129293,0.00129293
70,146.201,1.13289,0.83287,1.38377,0.28855,0.58333,0.3911,0.17105,1.87453,1.68909,2.29959,0.00128742,0.00128742,0.00128742
71,148.305,1.13578,0.86035,1.34881,0.57587,0.5,0.45678,0.22408,1.99752,1.37821,2.62057,0.00128192,0.00128192,0.00128192
72,150.355,1.05274,0.76877,1.36397,0.30055,0.33333,0.38193,0.17864,1.91183,1.69395,2.47917,0.00127642,0.00127642,0.00127642
73,152.374,1.03775,0.75268,1.32027,0.74087,0.30999,0.33403,0.14224,2.04403,2.08145,2.56842,0.00127092,0.00127092,0.00127092
74,154.385,1.09574,0.82929,1.3635,0.46764,0.52778,0.34171,0.16451,1.79721,2.29268,2.20854,0.00126542,0.00126542,0.00126542
75,156.417,1.07206,0.82791,1.30502,0.46295,0.58333,0.41664,0.2096,1.88631,1.79248,2.19817,0.00125992,0.00125992,0.00125992
76,158.469,1.12756,0.7916,1.40152,0.48644,0.55556,0.45327,0.24078,1.74536,1.785,2.00947,0.00125442,0.00125442,0.00125442
77,160.564,1.14394,0.82936,1.37388,0.48673,0.83333,0.59508,0.27705,1.64495,1.70999,1.92731,0.00124892,0.00124892,0.00124892
78,162.625,1.0943,0.85494,1.38662,0.52919,0.70674,0.50428,0.24893,1.60249,2.04346,1.93021,0.00124342,0.00124342,0.00124342
79,164.687,1.12666,0.89171,1.38234,0.80573,0.56512,0.77202,0.24992,1.88196,2.00371,2.17376,0.00123791,0.00123791,0.00123791
80,166.772,1.04067,0.80988,1.34914,0.6468,0.80556,0.66889,0.32064,1.62674,1.48509,2.09319,0.00123241,0.00123241,0.00123241
81,168.759,1.0828,0.81528,1.31336,0.50252,0.61111,0.48042,0.3135,1.42366,1.46,1.95528,0.00122691,0.00122691,0.00122691
82,170.819,1.08721,0.81949,1.36391,0.81429,0.38889,0.36733,0.21044,1.47048,1.43265,1.97794,0.00122141,0.00122141,0.00122141
83,172.963,1.09566,0.83723,1.32902,0.79541,0.36097,0.34304,0.16493,1.7302,1.63118,2.20906,0.00121591,0.00121591,0.00121591
84,174.99,1.00284,0.79988,1.2899,0.62623,0.51958,0.59444,0.36562,1.70448,1.67297,2.21804,0.00121041,0.00121041,0.00121041
85,176.945,1.0295,0.78266,1.28657,0.66363,0.38889,0.55346,0.33538,1.81876,1.82553,2.32043,0.00120491,0.00120491,0.00120491
86,178.98,1.05811,0.8181,1.32993,0.49135,0.4957,0.46026,0.23575,2.0184,1.6009,2.61044,0.00119941,0.00119941,0.00119941
87,180.978,1.00836,0.78674,1.29142,0.25376,0.63889,0.40397,0.18564,1.97599,1.71223,2.46107,0.00119391,0.00119391,0.00119391
88,183.072,0.99533,0.7188,1.25807,0.31201,0.32306,0.30781,0.14681,2.19196,1.90237,2.65896,0.0011884,0.0011884,0.0011884
89,185.062,1.00353,0.79077,1.28948,0.30178,0.30556,0.31253,0.15439,2.16662,2.00073,2.67874,0.0011829,0.0011829,0.0011829
90,187.081,0.94531,0.69379,1.26312,0.3382,0.29076,0.32887,0.16188,1.96998,2.02484,2.33791,0.0011774,0.0011774,0.0011774
91,189.087,1.00036,0.73508,1.30023,0.27817,0.38336,0.34881,0.16412,2.09807,1.70317,2.45469,0.0011719,0.0011719,0.0011719
92,191.166,0.9848,0.7092,1.28175,0.9447,0.52778,0.70894,0.25727,2.05143,1.25504,2.50674,0.0011664,0.0011664,0.0011664
93,193.162,0.9862,0.69735,1.25778,0.86949,0.75,0.87466,0.38574,1.74119,1.41414,2.17941,0.0011609,0.0011609,0.0011609
94,195.281,1.07054,0.68426,1.32756,0.53315,0.50854,0.64063,0.44248,1.67468,1.65777,2.07349,0.0011554,0.0011554,0.0011554
95,197.324,1.0304,0.69574,1.29318,0.87736,0.47222,0.61412,0.39821,1.7764,1.74584,2.02526,0.0011499,0.0011499,0.0011499
96,199.339,0.94054,0.66081,1.24976,0.28845,0.5,0.41292,0.18128,2.08535,2.01498,2.36467,0.0011444,0.0011444,0.0011444
97,201.304,1.04412,0.71091,1.30822,0.87467,0.2492,0.37476,0.16007,2.21548,2.73031,2.4776,0.00113889,0.00113889,0.00113889
98,203.322,0.96253,0.68424,1.26296,0.64039,0.55556,0.55486,0.40666,1.7784,1.78369,2.36001,0.00113339,0.00113339,0.00113339
99,205.344,0.96052,0.67164,1.2665,0.85752,0.47222,0.53966,0.3721,1.84524,1.59676,2.31188,0.00112789,0.00112789,0.00112789
100,207.497,0.98502,0.65041,1.25887,0.67833,0.53711,0.60112,0.355,1.82464,1.45059,2.442,0.00112239,0.00112239,0.00112239
101,209.535,0.95529,0.68099,1.24812,0.32982,0.61111,0.4401,0.23231,1.74709,1.53622,2.44429,0.00111689,0.00111689,0.00111689
102,211.616,1.01632,0.70621,1.30956,0.65238,0.60555,0.62428,0.32847,1.75489,1.76874,2.39597,0.00111139,0.00111139,0.00111139
103,213.663,1.00104,0.68396,1.2407,0.27845,0.66667,0.53331,0.22677,1.93523,1.24752,2.54939,0.00110589,0.00110589,0.00110589
104,215.697,1.002,0.69633,1.25014,0.85753,0.44444,0.67747,0.25426,1.91034,1.46667,2.49358,0.00110039,0.00110039,0.00110039
105,217.676,0.90491,0.66325,1.22953,0.52344,0.86111,0.74334,0.26805,1.87791,1.33033,2.46523,0.00109489,0.00109489,0.00109489
106,219.813,0.95444,0.69654,1.25831,0.96068,0.77778,0.87471,0.43726,1.79152,1.23242,2.4648,0.00108938,0.00108938,0.00108938
107,221.902,0.90774,0.65318,1.2098,0.7963,0.58333,0.64029,0.38856,1.68943,1.34032,2.38199,0.00108388,0.00108388,0.00108388
108,223.902,0.90157,0.6424,1.22824,0.62257,0.58333,0.6416,0.38653,1.70609,1.51958,2.27638,0.00107838,0.00107838,0.00107838
