epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.9098,1.26042,1.04015,1.48775,0.40663,0.5,0.35233,0.16818,1.85519,3.92356,2.74209,0.00158242,0.00158242,0.00158242
43,100.165,1.29544,1.01945,1.4724,0.36923,0.55556,0.52144,0.18586,2.25898,4.68736,3.50748,0.00158036,0.00158036,0.00158036
44,102.523,1.27084,1.05037,1.51091,0.73269,0.6186,0.65168,0.18419,2.58947,2.69987,3.67434,0.00157829,0.00157829,0.00157829
45,104.772,1.25228,1.01093,1.4731,0.74978,0.36111,0.50692,0.11319,2.62849,2.83431,3.23485,0.00157623,0.00157623,0.00157623
46,106.871,1.34096,1.02937,1.59242,0.40856,0.27778,0.40891,0.06489,2.75693,3.3305,3.3077,0.00157417,0.00157417,0.00157417
47,109.038,1.21967,0.95874,1.49047,0.13023,0.69444,0.0999,0.03395,2.39568,3.5733,3.09645,0.00157211,0.00157211,0.00157211
48,111.322,1.24858,1.03675,1.44419,0.88054,0.25,0.4388,0.16531,2.15843,2.76387,2.81521,0.00157004,0.00157004,0.00157004
49,113.534,1.20594,0.94809,1.45023,0.31844,0.36111,0.3263,0.13814,2.16368,2.66385,2.72429,0.00156798,0.00156798,0.00156798
50,115.836,1.25688,1.01431,1.45419,0.27206,0.41667,0.34111,0.12409,2.59382,5.02193,3.61301,0.00156592,0.00156592,0.00156592
51,118.052,1.19251,0.94223,1.43011,0.90211,0.16667,0.25999,0.12843,2.27585,3.30419,3.10169,0.00156385,0.00156385,0.00156385
52,120.215,1.18148,0.92259,1.43103,0.33105,0.47222,0.28321,0.1126,2.61711,4.22956,3.43236,0.00156179,0.00156179,0.00156179
53,122.407,1.26851,0.95331,1.48418,0.37776,0.4276,0.29477,0.12556,2.33024,4.05897,3.27469,0.00155973,0.00155973,0.00155973
54,124.682,1.22308,0.94335,1.42294,0.29403,0.76529,0.32904,0.15129,2.15636,2.74017,2.82958,0.00155767,0.00155767,0.00155767
55,127.046,1.18671,0.94344,1.42312,0.31915,0.56227,0.29115,0.09697,2.45357,3.14506,2.78584,0.0015556,0.0015556,0.0015556
56,129.301,1.22427,0.94055,1.4411,0.43199,0.38889,0.29654,0.06765,2.90445,2.98281,3.10178,0.00155354,0.00155354,0.00155354
57,131.619,1.25813,0.96116,1.4332,0.18666,0.37504,0.14714,0.06233,2.51205,3.10874,2.78065,0.00155148,0.00155148,0.00155148
58,133.878,1.23441,0.89948,1.39552,0.21576,0.3597,0.1386,0.06463,2.65861,3.68761,2.90438,0.00154941,0.00154941,0.00154941
59,136.166,1.24068,0.99561,1.45272,0.22315,0.35277,0.11285,0.0323,3.37265,2.90593,3.48932,0.00154735,0.00154735,0.00154735
60,138.498,1.23586,1.02009,1.44673,0.73453,0.5,0.53917,0.3497,1.8108,1.87436,2.16162,0.00154529,0.00154529,0.00154529
61,140.745,1.2311,0.90506,1.43562,0.74069,0.44444,0.51506,0.30936,1.95936,1.99556,2.31974,0.00154323,0.00154323,0.00154323
62,142.955,1.22666,0.93653,1.43467,0.7431,0.27778,0.2703,0.11459,2.17171,2.09213,2.62135,0.00154116,0.00154116,0.00154116
63,145.537,1.1556,0.89537,1.37135,0.23908,0.61111,0.34845,0.19094,1.72577,1.7239,2.14812,0.0015391,0.0015391,0.0015391
64,147.834,1.19217,0.91675,1.41338,0.5,0.22142,0.35352,0.19737,1.73872,1.768,2.26013,0.00153704,0.00153704,0.00153704
65,149.974,1.17015,0.8758,1.38527,0.19996,0.16667,0.15504,0.06387,2.11759,3.08132,2.77014,0.00153497,0.00153497,0.00153497
66,152.088,1.22023,0.92798,1.42028,0.31114,0.25,0.27418,0.09519,2.27128,2.50856,2.85674,0.00153291,0.00153291,0.00153291
67,154.205,1.1569,0.86172,1.35064,0.2159,0.33789,0.27838,0.10813,2.16177,2.47245,2.47457,0.00153085,0.00153085,0.00153085
68,156.354,1.11057,0.78936,1.35791,0.88407,0.27778,0.28308,0.13777,1.85218,2.15006,2.43916,0.00152878,0.00152878,0.00152878
69,158.523,1.15566,0.83795,1.39375,0.40865,0.24866,0.27481,0.13368,2.11452,2.29997,2.64848,0.00152672,0.00152672,0.00152672
70,160.633,1.097,0.78492,1.34034,0.26352,0.25,0.24193,0.13151,2.02933,2.11274,2.57965,0.00152466,0.00152466,0.00152466
71,162.737,1.1583,0.85056,1.41019,0.25892,0.36111,0.3069,0.1385,2.18008,1.93872,2.60025,0.0015226,0.0015226,0.0015226
72,164.83,1.13072,0.77124,1.39096,0.76455,0.36111,0.32754,0.17792,1.8369,2.41663,2.25111,0.00152053,0.00152053,0.00152053
73,166.914,1.07904,0.81388,1.34544,0.83361,0.30556,0.34288,0.1622,1.72716,2.89088,2.17624,0.00151847,0.00151847,0.00151847
74,169.048,1.10182,0.78968,1.3437,0.33842,0.34943,0.30807,0.08146,2.56561,2.25885,2.8386,0.00151641,0.00151641,0.00151641
75,171.172,1.1314,0.8547,1.35402,0.22936,0.25925,0.29032,0.09831,2.77275,2.59029,3.10773,0.00151434,0.00151434,0.00151434
76,173.264,1.14512,0.85192,1.40771,0.28644,0.5,0.29378,0.12786,2.24915,2.11999,2.60592,0.00151228,0.00151228,0.00151228
77,175.371,1.11177,0.80593,1.34817,0.3582,0.91667,0.48211,0.24388,1.8986,1.22851,2.39533,0.00151022,0.00151022,0.00151022
78,177.573,1.08855,0.85433,1.367,0.2726,0.22222,0.25409,0.08601,2.57052,1.81671,2.99338,0.00150816,0.00150816,0.00150816
79,179.707,1.11766,0.81978,1.41584,0.21902,0.5,0.26333,0.07707,2.68586,2.35072,3.15354,0.00150609,0.00150609,0.00150609
80,181.847,1.10516,0.80533,1.38968,0.21156,0.69444,0.22011,0.08041,2.35243,3.61425,3.1288,0.00150403,0.00150403,0.00150403
81,183.971,1.10518,0.7942,1.33122,0.60263,0.74235,0.48285,0.22114,2.03236,1.79777,2.68854,0.00150197,0.00150197,0.00150197
82,186.092,1.07585,0.82041,1.35099,0.68046,0.72222,0.72585,0.40828,1.97062,1.76909,2.68527,0.0014999,0.0014999,0.0014999
83,188.266,1.11377,0.77388,1.3501,0.72344,0.64223,0.72658,0.38254,2.07808,1.84032,2.73096,0.00149784,0.00149784,0.00149784
84,190.398,1.09265,0.76007,1.33215,0.64333,0.38889,0.58749,0.19103,2.4028,2.02874,2.93598,0.00149578,0.00149578,0.00149578
85,192.476,1.04786,0.74968,1.29355,0.54443,0.41667,0.41911,0.1337,2.40105,2.32216,2.82392,0.00149372,0.00149372,0.00149372
86,194.565,1.17637,0.88848,1.40322,0.4821,0.7277,0.4408,0.16965,2.1469,2.35818,2.62881,0.00149165,0.00149165,0.00149165
87,196.693,1.07029,0.74632,1.33473,0.54206,0.68616,0.48048,0.21601,1.93302,2.02705,2.72909,0.00148959,0.00148959,0.00148959
88,198.757,1.01625,0.7115,1.28753,0.35945,0.84006,0.43682,0.21718,1.79489,1.87116,2.37121,0.00148753,0.00148753,0.00148753
89,200.883,1.06875,0.79662,1.34137,0.47195,0.55556,0.3998,0.22137,1.69594,1.42595,2.35828,0.00148546,0.00148546,0.00148546
90,203.02,1.01745,0.74655,1.28531,0.60724,0.51867,0.48729,0.24579,1.6244,1.69523,2.1174,0.0014834,0.0014834,0.0014834
91,205.132,1.01607,0.74705,1.33625,0.63693,0.67643,0.60043,0.26256,1.75252,1.89753,2.36996,0.00148134,0.00148134,0.00148134
