epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7118,1.6318,2.51148,1.93354,0.46679,0.52778,0.36166,0.29281,0.9333,3.15127,1.23072,0.00021671,0.00021671,0.00021671
2,30.2663,1.45608,1.98273,1.61506,0.28529,0.29562,0.3204,0.17401,1.64874,4.63666,1.92138,0.000447862,0.000447862,0.000447862
3,45.3688,1.57702,2.02974,1.71786,0.10773,0.27778,0.15091,0.0669,2.13265,12.1376,2.88745,0.000676704,0.000676704,0.000676704
4,60.17,1.56764,2.05026,1.70938,0.13756,0.25,0.19387,0.0577,2.4839,10.8283,3.56166,0.000903235,0.000903235,0.000903235
5,83.8887,1.67006,1.96879,1.79022,0.09743,0.25,0.24089,0.10997,2.19328,17.4735,2.95791,0.00112746,0.00112746,0.00112746
6,108.107,1.79751,1.96126,1.90821,0.34442,0.19444,0.23209,0.11115,2.21314,4.96048,2.65465,0.00134937,0.00134937,0.00134937
7,123.687,1.77813,1.94144,1.82319,0.02028,0.30556,0.0135,0.0064,3.74433,567.919,25.0409,0.00156897,0.00156897,0.00156897
8,153.551,1.74885,1.83445,1.80504,0.12114,0.13889,0.05894,0.01979,2.68401,9.5819,2.96546,0.00160924,0.00160924,0.00160924
9,174.466,1.67665,1.88001,1.75063,0.25624,0.38889,0.15648,0.04643,2.4963,7.32363,3.83687,0.00160099,0.00160099,0.00160099
10,191.152,1.65765,1.92625,1.76165,0.66569,0.27778,0.23165,0.09226,2.24057,9.50177,3.0157,0.00159274,0.00159274,0.00159274
11,215.185,1.62128,1.70096,1.68016,0.56957,0.36111,0.07722,0.0214,2.72101,25.9768,3.82334,0.00158448,0.00158448,0.00158448
12,238.225,1.73621,1.71518,1.74428,0.63565,0.13889,0.13186,0.0503,2.34725,11.7038,2.96634,0.00157623,0.00157623,0.00157623
13,262.363,1.57139,1.5911,1.61825,0.12807,0.16667,0.08929,0.03022,2.84662,5.81939,3.54799,0.00156798,0.00156798,0.00156798
14,286.893,1.59082,1.59872,1.64338,0.01278,0.08333,0.00638,0.00167,3.57618,22.4104,4.1636,0.00155973,0.00155973,0.00155973
15,303.017,1.68593,1.60198,1.69614,0.07924,0.13889,0.04958,0.02046,2.26703,7.52033,2.41136,0.00155148,0.00155148,0.00155148
16,329.551,1.58686,1.58946,1.65492,0.33063,0.5,0.23731,0.05171,2.74266,3.19141,2.83223,0.00154323,0.00154323,0.00154323
17,353.228,1.52063,1.54803,1.59734,0.18338,0.19444,0.14865,0.07235,2.49091,6.12032,2.56788,0.00153497,0.00153497,0.00153497
18,379.425,1.47472,1.48633,1.56689,0.62288,0.16667,0.09978,0.03832,2.66275,4.7075,2.61841,0.00152672,0.00152672,0.00152672
19,404.982,1.57403,1.55658,1.62591,0.65053,0.19444,0.13433,0.04813,2.207,3.61815,2.37765,0.00151847,0.00151847,0.00151847
20,428.159,1.4692,1.45141,1.57144,0.85666,0.30556,0.30154,0.1616,1.86542,3.13559,2.01566,0.00151022,0.00151022,0.00151022
21,444.357,1.50111,1.53427,1.59126,0.2985,0.1648,0.18715,0.05038,2.70568,4.48323,3.21045,0.00150197,0.00150197,0.00150197
22,461.627,1.46513,1.45835,1.57809,0.24202,0.47222,0.24395,0.1194,2.26337,3.12257,2.39688,0.00149372,0.00149372,0.00149372
23,485.469,1.40251,1.35552,1.54979,0.17868,0.44444,0.23481,0.11083,2.18006,2.64574,2.30214,0.00148546,0.00148546,0.00148546
24,512.746,1.40454,1.34786,1.53447,0.33318,0.33291,0.34796,0.15925,2.04031,2.19966,2.10225,0.00147721,0.00147721,0.00147721
25,543.606,1.45785,1.36947,1.54179,0.34075,0.19444,0.21594,0.09831,2.2332,2.52542,2.06415,0.00146896,0.00146896,0.00146896
26,571.819,1.44172,1.36015,1.53944,0.22952,0.52778,0.30606,0.12252,2.18362,2.37472,2.15531,0.00146071,0.00146071,0.00146071
27,590.121,1.30505,1.31981,1.44107,0.28961,0.47222,0.29198,0.09011,2.39541,2.71606,2.41206,0.00145246,0.00145246,0.00145246
28,617.855,1.34227,1.2885,1.48792,0.22105,0.41667,0.15778,0.08202,2.63591,3.41896,2.36923,0.00144421,0.00144421,0.00144421
29,635.93,1.36742,1.28417,1.48764,0.46272,0.44857,0.35514,0.1807,2.06677,2.35131,2.20277,0.00143595,0.00143595,0.00143595
30,660.288,1.39887,1.37898,1.54796,0.29087,0.57605,0.3997,0.21712,1.79263,1.72198,1.87394,0.0014277,0.0014277,0.0014277
31,683.834,1.38967,1.25011,1.50949,0.29136,0.31054,0.34523,0.17634,1.83464,1.88668,1.78687,0.00141945,0.00141945,0.00141945
