epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7751,1.43401,3.10663,1.83866,0.00527,1,0.37985,0.28901,0.82047,3.39429,1.32958,0.00010002,0.00010002,0.00010002
2,16.6405,1.29356,2.86494,1.62083,0.00533,1,0.42172,0.3146,0.93105,3.37935,1.4105,0.000212419,0.000212419,0.000212419
3,23.2281,1.32862,2.7674,1.68122,0.00553,1,0.39013,0.2861,0.934,3.34667,1.37157,0.000320197,0.000320197,0.000320197
4,29.8755,1.29432,2.49016,1.56253,0.00489,0.97222,0.38361,0.25855,1.12934,3.35007,1.54307,0.000423355,0.000423355,0.000423355
5,36.7669,1.22651,2.33729,1.55029,0.00498,0.97222,0.37539,0.2418,1.08187,3.20956,1.54653,0.000521891,0.000521891,0.000521891
6,43.301,1.2575,2.17389,1.56562,0.31495,0.58333,0.59171,0.26013,1.21228,3.15242,1.68134,0.000615806,0.000615806,0.000615806
7,50.0474,1.26423,2.01714,1.57051,0.00489,0.75,0.30466,0.13617,1.7864,3.55541,2.18406,0.000705101,0.000705101,0.000705101
8,56.8379,1.25792,1.97392,1.54944,0.00559,0.94444,0.299,0.14713,1.59097,3.62068,1.89119,0.000789775,0.000789775,0.000789775
9,64.0329,1.3188,1.94083,1.60147,0.5,0.05062,0.2172,0.10351,1.98373,3.72469,2.42766,0.000869827,0.000869827,0.000869827
10,70.5749,1.24777,1.83367,1.51563,0.42445,0.44444,0.38582,0.17554,1.69381,3.1532,2.4092,0.000945259,0.000945259,0.000945259
11,77.6616,1.30541,1.80087,1.59015,0.65557,0.08333,0.10724,0.06647,2.23264,3.89662,3.10364,0.00101607,0.00101607,0.00101607
12,84.6177,1.33935,1.7851,1.58032,0.67273,0.08333,0.11167,0.06539,2.36925,4.01957,3.49554,0.00108226,0.00108226,0.00108226
13,91.2025,1.33187,1.76382,1.54848,0.23387,0.07437,0.13852,0.08222,1.84798,3.50825,2.38041,0.00114383,0.00114383,0.00114383
14,97.7956,1.34354,1.81273,1.58242,0.0508,0.02778,0.05988,0.02802,2.04223,3.82117,2.60402,0.00120078,0.00120078,0.00120078
15,104.344,1.3314,1.67214,1.53592,0.06962,0.05556,0.04892,0.01299,2.621,3.9744,3.09893,0.00120491,0.00120491,0.00120491
16,110.818,1.25859,1.60151,1.4747,0.02709,0.25,0.07234,0.01297,2.99719,4.20713,4.02062,0.0011719,0.0011719,0.0011719
17,117.417,1.23815,1.48543,1.46243,0.00488,0.88889,0.01999,0.00425,3.67788,4.67453,5.40571,0.00113889,0.00113889,0.00113889
18,124.027,1.27194,1.51955,1.49748,0.00421,0.36111,0.01155,0.00317,3.85784,4.99565,5.39557,0.00110589,0.00110589,0.00110589
19,130.39,1.34757,1.56724,1.54334,0.0045,0.66667,0.01827,0.00588,3.39656,4.35204,4.2766,0.00107288,0.00107288,0.00107288
20,136.794,1.28327,1.49423,1.48514,0.12057,0.08333,0.08024,0.03626,2.92853,4.00675,3.75448,0.00103987,0.00103987,0.00103987
21,143.176,1.29037,1.54673,1.52498,0.34312,0.08333,0.1354,0.05143,2.83893,3.96649,3.54405,0.00100687,0.00100687,0.00100687
22,149.952,1.18173,1.47804,1.41792,0.19682,0.11111,0.15653,0.05153,2.54183,3.55712,3.17793,0.000973861,0.000973861,0.000973861
23,156.561,1.11617,1.34557,1.37027,0.13598,0.16667,0.11072,0.04725,2.39493,3.66502,2.90975,0.000940855,0.000940855,0.000940855
24,163.033,1.15246,1.35006,1.41088,0.15527,0.13889,0.12079,0.05606,2.00858,3.58415,2.55532,0.000907848,0.000907848,0.000907848
25,169.265,1.21799,1.29174,1.48486,0.25271,0.16667,0.1897,0.08385,1.89892,3.23851,2.4166,0.000874842,0.000874842,0.000874842
26,175.871,1.20752,1.36295,1.45405,0.49308,0.13889,0.20787,0.1331,1.74186,3.12419,2.12951,0.000841835,0.000841835,0.000841835
27,182.248,1.13497,1.25114,1.37065,0.28153,0.11111,0.15756,0.09945,1.68651,3.15329,1.99455,0.000808828,0.000808828,0.000808828
28,188.632,1.11376,1.28159,1.38619,0.28489,0.13889,0.17531,0.08034,1.93054,3.13597,2.22452,0.000775822,0.000775822,0.000775822
29,194.907,1.15909,1.26688,1.40078,0.30377,0.16667,0.23106,0.11409,1.70619,2.85461,2.04892,0.000742815,0.000742815,0.000742815
30,201.455,1.12605,1.26262,1.41058,0.54558,0.58333,0.53535,0.33968,1.46008,2.24398,1.84733,0.000709809,0.000709809,0.000709809
31,208.342,1.07848,1.21145,1.34713,0.36793,0.66667,0.62534,0.40734,1.54826,2.27923,2.12316,0.000676802,0.000676802,0.000676802
32,214.904,1.04098,1.14264,1.31135,0.4686,0.72222,0.63076,0.28081,1.60379,2.25713,2.19486,0.000643795,0.000643795,0.000643795
33,221.56,1.02056,1.14575,1.32536,0.7946,0.43844,0.59796,0.26182,1.70336,2.16092,2.13943,0.000610789,0.000610789,0.000610789
34,228.355,1.00674,1.11573,1.35338,0.49814,0.44444,0.36151,0.21681,1.6814,2.25138,2.15486,0.000577782,0.000577782,0.000577782
35,235.54,1.00404,1.10885,1.30074,0.46075,0.53463,0.41707,0.2684,1.56415,2.02068,2.02056,0.000544776,0.000544776,0.000544776
36,243.381,1.04462,1.1333,1.33966,0.76767,0.61111,0.79796,0.45889,1.37149,1.68474,1.84752,0.000511769,0.000511769,0.000511769
37,250.638,1.03007,1.09661,1.30392,0.78671,0.66667,0.72986,0.4905,1.30316,1.55484,1.76617,0.000478762,0.000478762,0.000478762
38,258.375,0.95438,1.02037,1.26414,0.75024,0.69673,0.74852,0.54123,1.20644,1.53467,1.61295,0.000445756,0.000445756,0.000445756
39,264.958,0.97937,1.04756,1.27434,0.84153,0.58333,0.66367,0.49422,1.12618,1.74944,1.56322,0.000412749,0.000412749,0.000412749
40,271.524,0.95581,0.98383,1.26358,0.80715,0.60802,0.64464,0.42112,1.36209,1.96927,1.69933,0.000379743,0.000379743,0.000379743
41,323.035,0.95269,1.53844,1.38647,0.75592,0.63889,0.63345,0.40796,1.42935,2.02755,1.731,0.000346736,0.000346736,0.000346736
42,330.358,0.86391,1.3426,1.33027,0.58694,0.66667,0.58187,0.37868,1.72508,2.18139,1.98301,0.000313729,0.000313729,0.000313729
43,337.876,0.84185,1.27598,1.26717,0.72093,0.66667,0.61137,0.26334,1.75063,2.2159,1.99092,0.000280723,0.000280723,0.000280723
