epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3324,1.1596,1.47031,1.27164,0.79119,0.71705,0.77395,0.43179,1.51477,1.77434,1.8482,0.000662791,0.000662791,0.000662791
2,168.213,1.1294,0.85846,1.2134,0.9695,0.85931,0.95771,0.51951,1.3406,0.99227,1.65891,0.0013163,0.0013163,0.0013163
3,248.724,1.13669,0.71589,1.20114,0.93172,0.73776,0.87547,0.53795,1.40205,1.01849,1.72241,0.0019566,0.0019566,0.0019566
4,333.196,1.09948,0.62216,1.18304,0.80145,0.86486,0.9314,0.52755,1.30138,1.00085,1.66037,0.0019406,0.0019406,0.0019406
5,416.613,1.08393,0.59918,1.17325,0.87596,0.91892,0.89935,0.5276,1.44378,0.776,1.69604,0.0019208,0.0019208,0.0019208
6,496.55,1.04176,0.55105,1.15432,0.87752,0.97297,0.97401,0.59611,1.33864,0.73357,1.62556,0.001901,0.001901,0.001901
7,575.256,1.04062,0.53825,1.15276,0.87554,0.95078,0.97152,0.58154,1.18324,0.60144,1.48833,0.0018812,0.0018812,0.0018812
8,651.272,1.0252,0.52461,1.1416,0.91627,0.88743,0.94969,0.56707,1.36007,0.64875,1.63374,0.0018614,0.0018614,0.0018614
9,727.951,0.99471,0.50367,1.12517,0.92059,0.94012,0.95691,0.60252,1.34486,0.63797,1.63805,0.0018416,0.0018416,0.0018416
10,805.746,1.00606,0.50585,1.14481,0.92091,0.94595,0.94145,0.61309,1.22946,0.53595,1.55367,0.0018218,0.0018218,0.0018218
11,887.158,0.98882,0.48607,1.13547,0.92045,0.9383,0.97207,0.57776,1.31626,0.63848,1.57234,0.001802,0.001802,0.001802
12,965.901,0.9912,0.48605,1.12686,0.96222,0.91892,0.92386,0.59268,1.25896,0.61394,1.54937,0.0017822,0.0017822,0.0017822
13,1046.9,0.98765,0.48005,1.13623,0.94896,0.91892,0.96427,0.55138,1.34746,0.62737,1.65051,0.0017624,0.0017624,0.0017624
14,1125.26,0.96207,0.46763,1.12001,0.83094,0.93004,0.89859,0.53236,1.36949,0.72024,1.66729,0.0017426,0.0017426,0.0017426
15,1206.09,0.97701,0.46132,1.11921,0.9432,0.94595,0.97273,0.58814,1.27367,0.59191,1.54765,0.0017228,0.0017228,0.0017228
16,1285.32,0.95545,0.45771,1.11675,0.822,0.87382,0.9022,0.5389,1.3159,0.73559,1.59964,0.001703,0.001703,0.001703
17,1363.2,0.95364,0.45781,1.10885,0.9722,0.94506,0.96615,0.58925,1.23173,0.54303,1.56733,0.0016832,0.0016832,0.0016832
18,1442.01,0.94771,0.45225,1.10214,0.94536,0.97297,0.98707,0.61388,1.21419,0.49881,1.53294,0.0016634,0.0016634,0.0016634
19,1520.57,0.9235,0.44174,1.09788,0.91784,0.94595,0.95423,0.64755,1.14389,0.48333,1.47752,0.0016436,0.0016436,0.0016436
20,1597.5,0.94343,0.44387,1.1079,0.94217,0.89189,0.96093,0.57843,1.34101,0.64513,1.60142,0.0016238,0.0016238,0.0016238
21,1681.48,0.90365,0.42468,1.09243,0.94858,0.99733,0.98547,0.60414,1.23656,0.47733,1.52825,0.001604,0.001604,0.001604
22,1766.93,0.9008,0.42129,1.09182,0.90207,0.99592,0.98275,0.6384,1.19912,0.52837,1.50157,0.0015842,0.0015842,0.0015842
23,1851.32,0.92002,0.43137,1.09378,0.94626,0.95199,0.99064,0.67047,1.19642,0.45986,1.49392,0.0015644,0.0015644,0.0015644
24,1931.27,0.91484,0.42457,1.09027,0.98916,0.91892,0.97931,0.64289,1.20846,0.50073,1.4928,0.0015446,0.0015446,0.0015446
25,2012.57,0.90158,0.41847,1.08236,0.97362,0.99738,0.99289,0.69063,1.10195,0.44881,1.42267,0.0015248,0.0015248,0.0015248
26,2090.47,0.89613,0.41447,1.09167,0.94733,0.97297,0.97999,0.69553,1.17909,0.45824,1.49314,0.001505,0.001505,0.001505
