epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3182,1.55926,3.3143,2.03013,0.86093,0.36111,0.3258,0.25898,1.04943,2.54933,1.5697,0.00010002,0.00010002,0.00010002
2,21.9798,1.49284,2.26714,1.77587,0.1621,0.56664,0.22798,0.08451,2.00368,4.5551,2.72967,0.000215637,0.000215637,0.000215637
3,32.3009,1.66085,2.15462,1.84312,0.07467,0.52778,0.11079,0.03342,2.11807,5.19,2.82341,0.000330099,0.000330099,0.000330099
4,45.2642,1.63706,1.83332,1.77919,0.09332,0.39896,0.09933,0.02764,2.55846,4.11263,3.65455,0.000443406,0.000443406,0.000443406
5,60.3979,1.60169,1.91588,1.80605,0.23769,0.22222,0.21887,0.08397,2.15131,2.49349,3.32811,0.000555558,0.000555558,0.000555558
6,74.0668,1.68472,1.84599,1.83099,0.02183,0.19444,0.02096,0.00556,2.84125,5.22256,3.74455,0.000666554,0.000666554,0.000666554
7,88.9268,1.71417,1.86019,1.86743,0.01515,0.22222,0.01158,0.00344,3.25231,110.111,5.27203,0.000776395,0.000776395,0.000776395
8,101.024,1.69828,1.90429,1.86012,0.03701,0.22222,0.02676,0.00687,3.08233,35.7891,5.33865,0.000885081,0.000885081,0.000885081
9,113.948,1.82881,1.88092,1.89894,0.06339,0.22589,0.10154,0.02401,2.59751,14.5574,5.41989,0.000992612,0.000992612,0.000992612
10,126.975,1.79586,1.83243,1.90826,0.54,0.05556,0.02591,0.0057,3.10311,48.2089,7.12768,0.00109899,0.00109899,0.00109899
11,139.224,1.81091,1.91489,1.94868,0.00888,0.13889,0.00621,0.00144,3.2734,37.3592,10.5459,0.00120421,0.00120421,0.00120421
12,151.517,1.73442,1.85103,1.86294,0.00758,0.11111,0.00361,0.00068,4.24706,312.038,22.9964,0.00130827,0.00130827,0.00130827
13,161.373,1.806,1.89555,1.8936,0.00124,0.02778,0.00061,0.00024,nan,nan,nan,0.00141118,0.00141118,0.00141118
14,171.357,1.89349,1.91791,2.00385,0,0,0,0,nan,nan,nan,0.00151294,0.00151294,0.00151294
15,181.321,1.83566,1.91336,1.94323,0,0,0,0,5.39681,14.5205,40.083,0.00155148,0.00155148,0.00155148
16,190.031,1.77248,1.81691,1.89145,0.01455,0.44444,0.01509,0.0044,3.78187,445.519,21.7002,0.00154323,0.00154323,0.00154323
17,200.363,1.72529,1.77028,1.83493,0.00845,0.69444,0.01102,0.00396,3.39591,inf,47.5353,0.00153497,0.00153497,0.00153497
18,211.289,1.75025,1.67298,1.83695,0.03239,0.44444,0.05086,0.01374,3.32006,134.663,6.74977,0.00152672,0.00152672,0.00152672
19,221.264,1.76907,1.67332,1.88419,0.02976,0.13889,0.05426,0.00773,3.47955,90.2975,8.32762,0.00151847,0.00151847,0.00151847
20,231.48,1.69265,1.68542,1.81901,0.05415,0.58333,0.05323,0.02029,2.87958,115.871,9.96359,0.00151022,0.00151022,0.00151022
21,240.775,1.65427,1.67457,1.80117,0.05714,0.22222,0.05258,0.02985,2.74396,66.7974,7.12959,0.00150197,0.00150197,0.00150197
22,251.857,1.65889,1.66744,1.78037,0.10154,0.13889,0.12943,0.05686,2.62608,24.8148,5.22638,0.00149372,0.00149372,0.00149372
23,262.736,1.64969,1.60399,1.76617,0.52424,0.22222,0.02994,0.01759,2.90813,110.088,13.5138,0.00148546,0.00148546,0.00148546
24,274.232,1.64977,1.56863,1.76332,0.45764,0.2992,0.21069,0.09358,2.38818,3.77357,2.75662,0.00147721,0.00147721,0.00147721
25,282.451,1.62541,1.52692,1.75355,0.16819,0.54699,0.06312,0.01333,3.39458,4.7796,3.20353,0.00146896,0.00146896,0.00146896
26,291.775,1.60336,1.63556,1.75834,0.05743,0.36111,0.07062,0.03821,2.96403,3.84554,3.2451,0.00146071,0.00146071,0.00146071
27,302.848,1.70701,1.59754,1.78431,0.17411,0.27778,0.13096,0.02431,3.42421,6.01449,3.74437,0.00145246,0.00145246,0.00145246
28,314.612,1.70157,1.59635,1.77772,0.15033,0.11111,0.07769,0.02365,2.97294,5.40239,3.54334,0.00144421,0.00144421,0.00144421
29,325.433,1.64596,1.50924,1.76297,0.14222,0.41667,0.10711,0.02659,2.74046,4.90866,3.23153,0.00143595,0.00143595,0.00143595
30,337.116,1.68778,1.59787,1.79346,0.24027,0.08333,0.10378,0.04756,2.38604,3.70721,3.05451,0.0014277,0.0014277,0.0014277
31,348.819,1.66568,1.63451,1.76754,0.09089,0.11111,0.06708,0.01487,3.05617,6.26666,3.28953,0.00141945,0.00141945,0.00141945
32,358.749,1.59505,1.62877,1.72714,0.15929,0.46896,0.14759,0.06356,2.40169,5.09341,2.41586,0.0014112,0.0014112,0.0014112
33,370.618,1.55227,1.51521,1.72545,0.85663,0.13889,0.19047,0.0924,2.29983,3.34972,2.6593,0.00140295,0.00140295,0.00140295
34,379.844,1.567,1.53253,1.77122,0.4089,0.38889,0.29599,0.10419,2.22823,4.66276,2.62485,0.0013947,0.0013947,0.0013947
35,389.337,1.59838,1.55865,1.71384,0.57223,0.22222,0.04378,0.01436,2.54766,7.70278,2.99761,0.00138644,0.00138644,0.00138644
36,398.383,1.62997,1.57615,1.74962,0.06931,0.11111,0.05488,0.02201,2.36007,10.7064,2.67089,0.00137819,0.00137819,0.00137819
37,408.742,1.5454,1.53962,1.67963,0.05207,0.13889,0.02931,0.01326,2.30156,15.254,2.78874,0.00136994,0.00136994,0.00136994
38,419.642,1.4875,1.4559,1.63155,0.6216,0.16667,0.08813,0.03663,2.20409,13.2973,2.62605,0.00136169,0.00136169,0.00136169
39,429.366,1.5382,1.48997,1.68399,0.11011,0.11111,0.05497,0.00885,3.56934,12.9058,3.68195,0.00135344,0.00135344,0.00135344
40,439.864,1.49343,1.38339,1.64199,0.22428,0.25,0.2085,0.07221,2.62599,3.56644,2.74658,0.00134519,0.00134519,0.00134519
41,450.614,1.51032,1.34881,1.67394,0.42009,0.19444,0.24008,0.08833,2.61999,2.57617,2.9806,0.00133693,0.00133693,0.00133693
42,460.894,1.54585,1.30976,1.6367,0.74668,0.32116,0.45828,0.16411,2.53527,2.37627,2.9073,0.00132868,0.00132868,0.00132868
43,470.612,1.61081,1.35804,1.68974,0.08244,0.02778,0.01144,0.00364,3.99824,6.70375,3.66831,0.00132043,0.00132043,0.00132043
44,480.974,1.46299,1.35409,1.61717,0.24278,0.51963,0.23845,0.11059,2.14191,3.11544,2.60852,0.00131218,0.00131218,0.00131218
45,491.225,1.5159,1.41379,1.69098,0.22817,0.27778,0.23276,0.10791,1.94545,2.78954,2.42099,0.00130393,0.00130393,0.00130393
46,502.267,1.48725,1.46118,1.67941,0.2797,0.58333,0.39606,0.17625,1.81724,1.98754,2.54417,0.00129568,0.00129568,0.00129568
47,512.879,1.44481,1.40601,1.64437,0.38292,0.57448,0.54608,0.18793,2.03985,2.04166,2.46156,0.00128742,0.00128742,0.00128742
48,523.463,1.47391,1.29867,1.62084,0.60203,0.30724,0.3879,0.13857,2.22801,2.57791,2.35997,0.00127917,0.00127917,0.00127917
49,534.283,1.46231,1.33979,1.61844,0.90523,0.33333,0.45498,0.20642,1.99264,2.53329,2.15883,0.00127092,0.00127092,0.00127092
50,544.136,1.45856,1.26393,1.62537,0.31463,0.22222,0.23604,0.13301,2.05039,2.57772,2.32627,0.00126267,0.00126267,0.00126267
51,554.948,1.47801,1.2855,1.62361,0.5,0.24933,0.35552,0.17272,1.96109,2.09811,2.1071,0.00125442,0.00125442,0.00125442
52,565.567,1.40171,1.27257,1.5902,0.43317,0.38966,0.30435,0.1195,2.05342,2.96178,2.28436,0.00124617,0.00124617,0.00124617
53,574.484,1.4636,1.36036,1.60492,0.42681,0.36111,0.26832,0.07748,2.55421,3.22197,3.11237,0.00123791,0.00123791,0.00123791
54,586.975,1.46778,1.33945,1.63902,0.77454,0.19444,0.2389,0.09004,2.2385,2.51953,2.73721,0.00122966,0.00122966,0.00122966
55,598.738,1.42231,1.36557,1.6101,0.75792,0.31526,0.51719,0.1528,2.08958,2.21029,2.19968,0.00122141,0.00122141,0.00122141
